Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-04-13 22:00:00+00:00,73208.84375,74699.296875,73208.84375,74640.609375,0,0.0,0.0
2026-04-13 23:00:00+00:00,74546.9921875,74856.671875,74485.984375,74532.7421875,2946129920,0.0,0.0
2026-04-14 00:00:00+00:00,74442.2265625,74504.140625,74162.0234375,74162.0234375,108036096,0.0,0.0
2026-04-14 01:00:00+00:00,74145.921875,74427.2734375,74074.78125,74378.9921875,2039922688,0.0,0.0
2026-04-14 02:00:00+00:00,74404.7109375,74566.109375,74317.484375,74374.3671875,0,0.0,0.0
2026-04-14 03:00:00+00:00,74365.78125,74499.0078125,74291.6796875,74454.3828125,392503296,0.0,0.0
2026-04-14 04:00:00+00:00,74450.8515625,74512.1640625,74391.2421875,74397.703125,0,0.0,0.0
2026-04-14 05:00:00+00:00,74393.7578125,74418.0859375,74192.1875,74209.84375,0,0.0,0.0
2026-04-14 06:00:00+00:00,74312.171875,74565.7734375,74299.1484375,74565.7734375,238682112,0.0,0.0
2026-04-14 07:00:00+00:00,74551.2734375,74930.4296875,74511.1953125,74547.5546875,1304555520,0.0,0.0
2026-04-14 08:00:00+00:00,74547.046875,74901.6875,74510.515625,74776.1640625,905838592,0.0,0.0
2026-04-14 09:00:00+00:00,74770.9375,74845.84375,74469.1640625,74538.09375,705634304,0.0,0.0
2026-04-14 10:00:00+00:00,74506.390625,74638.0703125,74363.4921875,74423.4453125,603942912,0.0,0.0
2026-04-14 11:00:00+00:00,74395.28125,74465.9609375,74333.2734375,74456.0,460406784,0.0,0.0
2026-04-14 12:00:00+00:00,74398.828125,74457.5859375,74297.015625,74457.5859375,120107008,0.0,0.0
2026-04-14 13:00:00+00:00,74455.375,75495.4765625,74455.375,75490.3984375,1937948672,0.0,0.0
2026-04-14 14:00:00+00:00,75532.8046875,76009.03125,75180.125,75180.125,3226267648,0.0,0.0
2026-04-14 15:00:00+00:00,75090.1796875,75423.8984375,74743.2890625,75407.8125,628097024,0.0,0.0
2026-04-14 16:00:00+00:00,75390.9609375,75666.0390625,74566.21875,74566.21875,0,0.0,0.0
2026-04-14 17:00:00+00:00,74653.4140625,74947.6328125,74332.015625,74766.5,0,0.0,0.0
2026-04-14 18:00:00+00:00,74806.2109375,74809.5546875,73946.8515625,74097.0625,653688832,0.0,0.0
2026-04-14 19:00:00+00:00,74132.796875,74403.9296875,73960.7578125,74265.8984375,0,0.0,0.0
2026-04-14 20:00:00+00:00,74329.203125,74423.1484375,74052.28125,74052.28125,0,0.0,0.0
2026-04-14 21:00:00+00:00,74157.2109375,74343.96875,73989.09375,74315.2890625,0,0.0,0.0
2026-04-14 22:00:00+00:00,74272.21875,74413.2109375,73905.1875,74067.359375,0,0.0,0.0
2026-04-14 23:00:00+00:00,74067.3203125,74269.2578125,74046.1796875,74184.671875,73728,0.0,0.0
2026-04-15 00:00:00+00:00,74170.09375,74718.8203125,74154.828125,74597.890625,1786605568,0.0,0.0
2026-04-15 01:00:00+00:00,74591.34375,74799.609375,74531.2578125,74649.0,0,0.0,0.0
2026-04-15 02:00:00+00:00,74640.8984375,74738.0078125,74220.0,74360.390625,0,0.0,0.0
2026-04-15 03:00:00+00:00,74356.328125,74405.109375,74220.0,74376.75,0,0.0,0.0
2026-04-15 04:00:00+00:00,74377.3125,74470.0078125,74295.9609375,74354.171875,0,0.0,0.0
2026-04-15 05:00:00+00:00,74365.7265625,74463.9765625,73912.578125,74054.953125,0,0.0,0.0
2026-04-15 06:00:00+00:00,74050.0078125,74076.7890625,73902.921875,73942.46875,0,0.0,0.0
2026-04-15 07:00:00+00:00,73924.6484375,74048.46875,73573.03125,73771.3515625,68005888,0.0,0.0
2026-04-15 08:00:00+00:00,73759.7890625,74219.0078125,73706.0,74139.9921875,0,0.0,0.0
2026-04-15 09:00:00+00:00,74167.3515625,74213.4296875,73936.9921875,74038.53125,0,0.0,0.0
2026-04-15 10:00:00+00:00,74033.0,74255.7890625,73822.03125,73890.8984375,151773184,0.0,0.0
2026-04-15 11:00:00+00:00,73911.59375,74281.6171875,73894.0,74232.65625,0,0.0,0.0
2026-04-15 12:00:00+00:00,74244.953125,74494.203125,74075.7578125,74302.4765625,301113344,0.0,0.0
2026-04-15 13:00:00+00:00,74287.75,74470.0,73830.40625,74071.3671875,0,0.0,0.0
2026-04-15 14:00:00+00:00,74086.03125,74533.9921875,73843.921875,74163.1796875,0,0.0,0.0
2026-04-15 15:00:00+00:00,74164.40625,74317.59375,73623.7265625,73868.0,0,0.0,0.0
2026-04-15 16:00:00+00:00,73856.046875,74206.078125,73779.65625,73956.71875,0,0.0,0.0
2026-04-15 17:00:00+00:00,73993.96875,74253.6015625,73929.671875,74154.7109375,0,0.0,0.0
2026-04-15 18:00:00+00:00,74140.640625,74428.2890625,74086.046875,74414.40625,0,0.0,0.0
2026-04-15 19:00:00+00:00,74414.40625,75303.75,74395.0078125,75065.578125,160878592,0.0,0.0
2026-04-15 20:00:00+00:00,75053.0,75060.7578125,74545.0,74872.140625,200192000,0.0,0.0
2026-04-15 21:00:00+00:00,74851.2734375,74888.8671875,74572.078125,74765.3671875,0,0.0,0.0
2026-04-15 22:00:00+00:00,74772.2890625,75412.0,74763.8984375,74983.78125,0,0.0,0.0
2026-04-15 23:00:00+00:00,74980.9765625,74980.9765625,74639.78125,74836.359375,0,0.0,0.0
2026-04-16 00:00:00+00:00,74845.609375,74899.1484375,74508.46875,74820.2421875,0,0.0,0.0
2026-04-16 01:00:00+00:00,74835.3203125,74835.3203125,74488.109375,74681.8671875,0,0.0,0.0
2026-04-16 02:00:00+00:00,74681.4609375,75288.3515625,74614.3828125,74902.71875,382001152,0.0,0.0
